entity,type,desires,fears
Производитель компьютеров,Организация,"Доминировать на рынке персональных компьютеров, контролируя стандарт",Потерять контроль над стандартом и свою долю рынка
Производители стандартизированных компонентов,Организация,Долгосрочная прибыль,Потери из-за смены стандартов
Разработчики программного обеспечения,Организация,Дешево создавать приложения для широкой аудитории,Потерять инвестиции в разработку из-за изменения платформы
Компании-клоны,Организация,Производить совместимые компьютеры по более низкой цене,Юридические проблемы и потеря совместимости
Пользователи,Человек,Получить доступ к компьютерам по доступной цене,Инвестировать в быстро устаревающую технологию
